name,nickname,url,dob,weight,reach,height,stance
Sean Bassett,,http://ufcstats.com/fighter-details/2c733e059462c1dc,--,155 lbs.,--,--,
Stephen Bass,Bigfish,http://ufcstats.com/fighter-details/1cecc8fe6748a532,"Nov 14, 1982",145 lbs.,--,"5' 9""",Orthodox
Farid Basharat,Ferocious,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,"Aug 02, 1997",135 lbs.,"71""","5' 8""",Orthodox
Javid Basharat,The Snow Leopard,http://ufcstats.com/fighter-details/bbab3baf66128ae2,"Sep 07, 1995",135 lbs.,"69""","5' 9""",Orthodox
Enrique Barzola,El Fuerte,http://ufcstats.com/fighter-details/be0b310a12eb80b4,"Apr 28, 1989",145 lbs.,"70""","5' 7""",Orthodox
Dean Barry,The Sniper,http://ufcstats.com/fighter-details/a6f3d15cb84334bb,"Jul 03, 1992",170 lbs.,"72""","5' 10""",Orthodox
Francimar Barroso,Bodao,http://ufcstats.com/fighter-details/b69f24c500d783e7,"Feb 28, 1980",205 lbs.,"75""","6' 1""",Orthodox
Pat Barry,HD,http://ufcstats.com/fighter-details/658c3465581ae46b,"Jul 07, 1979",235 lbs.,"74""","5' 11""",Orthodox
Ricardo Barros,,http://ufcstats.com/fighter-details/d26394fc0e8e880a,"Mar 22, 1976",205 lbs.,--,"6' 1""",
Alexandre Barros,Baixinho,http://ufcstats.com/fighter-details/8fd1f27e86661ede,"Nov 19, 1976",170 lbs.,--,"5' 9""",Southpaw
David Barrios,,http://ufcstats.com/fighter-details/e6015889f50075d2,--,145 lbs.,--,"5' 6""",
Marc-Andre Barriault,Powerbar,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,"Feb 18, 1990",185 lbs.,"74""","6' 1""",Orthodox
Peter Barrett,Slippery,http://ufcstats.com/fighter-details/d21113c9ff3788ae,"Aug 10, 1986",145 lbs.,"73""","5' 10""",Southpaw
Jose Barreto,,http://ufcstats.com/fighter-details/c32eab6c2119e989,--,185 lbs.,--,--,Southpaw
Carlos Barreto,,http://ufcstats.com/fighter-details/a220be6d41d6f97d,--,230 lbs.,--,"6' 4""",Orthodox
Dan Barrera,The Fireman,http://ufcstats.com/fighter-details/f12f979b657ab876,"Dec 23, 1980",170 lbs.,--,"5' 9""",Orthodox
David Baron,,http://ufcstats.com/fighter-details/80c0bed43da0e27b,"Feb 15, 1973",155 lbs.,--,"5' 6""",Switch
Phil Baroni,The New York Bad Ass,http://ufcstats.com/fighter-details/1652f3213655b935,"Apr 16, 1976",170 lbs.,"72""","5' 9""",Orthodox
James Barnes,Mooka,http://ufcstats.com/fighter-details/c06a5c95f1169c0b,"May 28, 1982",135 lbs.,"71""","5' 8""",Orthodox
Luke Barnatt,The Bigslow,http://ufcstats.com/fighter-details/172c2135e70f87b7,"Apr 13, 1988",185 lbs.,"77""","6' 6""",Orthodox
Danny Barlow,LeftHand2God,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63,--,170 lbs.,--,--,
Daniel Barez,,http://ufcstats.com/fighter-details/e8fe9c15d348e778,"Dec 10, 1988",125 lbs.,"66""","5' 6""",Orthodox
Raoni Barcelos,,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,"May 01, 1987",135 lbs.,"67""","5' 7""",Orthodox
Edson Barboza,Junior,http://ufcstats.com/fighter-details/64a50dad704d1d49,"Jan 21, 1986",145 lbs.,"75""","5' 11""",Orthodox
Bryan Barberena,Bam Bam,http://ufcstats.com/fighter-details/a331233f597090a5,"May 03, 1989",170 lbs.,"72""","6' 0""",Southpaw
Maycee Barber,The Future,http://ufcstats.com/fighter-details/6a740daf1b279661,"May 18, 1998",125 lbs.,"65""","5' 5""",Switch
Junior Barata,,http://ufcstats.com/fighter-details/06dced58ca24a6bd,"Jan 25, 1982",170 lbs.,--,"5' 10""",Orthodox
Renan Barao,The Baron,http://ufcstats.com/fighter-details/2c99576fefe53c7c,"Jan 31, 1987",145 lbs.,"70""","5' 6""",Orthodox
Antonio Banuelos,,http://ufcstats.com/fighter-details/9ddfb3369a3b0394,"Sep 23, 1979",135 lbs.,"63""","5' 5""",Orthodox
Shauna Bannon,Mama B,http://ufcstats.com/fighter-details/9c442aaf149ea982,"Oct 23, 1993",115 lbs.,"65""","5' 5""",Switch
Yohan Banks,,http://ufcstats.com/fighter-details/c50ea21fe9ef478d,--,--,--,--,
Tae Hyun Bang,Supernatural,http://ufcstats.com/fighter-details/9a2d3567abc02e34,"Apr 15, 1983",155 lbs.,"71""","5' 9""",Switch
Humberto Bandenay,,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5,"Sep 04, 1994",145 lbs.,"71""","5' 11""",Southpaw
Marcin Bandel,Bomba,http://ufcstats.com/fighter-details/5c2ce761399dc9c5,"Oct 10, 1989",155 lbs.,--,"5' 10""",Orthodox
Stephen Banaszak,,http://ufcstats.com/fighter-details/4c4b44e3cf5815b3,"Dec 07, 1990",145 lbs.,--,"6' 0""",
Jordan Bailey,,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36,--,145 lbs.,--,"5' 9""",
Bahatebole Batebolati,,http://ufcstats.com/fighter-details/8f313e9c3a39c06e,"Sep 12, 1997",155 lbs.,"71""","5' 11""",Southpaw
Shamar Bailey,,http://ufcstats.com/fighter-details/e2b8186b618b00c4,"Sep 22, 1982",155 lbs.,"75""","5' 9""",Southpaw
Ignacio Bahamondes,La Jaula,http://ufcstats.com/fighter-details/e4a47b07044ddd72,"Aug 27, 1997",155 lbs.,"75""","6' 3""",Orthodox
Melsik Baghdasaryan,The Gun,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,"Jan 28, 1992",145 lbs.,"70""","5' 9""",Southpaw
Siyar Bahadurzada,The Great,http://ufcstats.com/fighter-details/aec185309b4843d0,"Apr 17, 1984",170 lbs.,"73""","5' 11""",Orthodox
Mehdi Baghdad,The Sultan,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b,"Apr 13, 1985",155 lbs.,--,"6' 1""",Orthodox
Ali Bagautinov,Puncher,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,"Jun 10, 1985",125 lbs.,"65""","5' 4""",Orthodox
Miguel Baeza,Caramel Thunder,http://ufcstats.com/fighter-details/82d4c957649faf9b,"Aug 23, 1992",170 lbs.,"74""","6' 2""",Orthodox
Izabela Badurek,,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664,"Jul 11, 1991",115 lbs.,--,"5' 5""",Orthodox
Ryan Bader,Darth,http://ufcstats.com/fighter-details/c0ab242c40decc55,"Jun 07, 1983",205 lbs.,"74""","6' 2""",Orthodox
Abdul Azeem Badakhshi,The Afghan Lion,http://ufcstats.com/fighter-details/968764372c49eab6,--,145 lbs.,--,--,
Chris Guillen,,http://ufcstats.com/fighter-details/da0f33e4255f99eb,"Dec 09, 1972",240 lbs.,--,"6' 0""",Orthodox
Niklas Backstrom,,http://ufcstats.com/fighter-details/39cc64bf0a269db9,"Aug 22, 1989",145 lbs.,--,"6' 1""",Orthodox
Seth Baczynski,The Polish Pistola,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,"Oct 26, 1981",170 lbs.,"75""","6' 3""",Orthodox
Melvin Guillard,The Young Assassin,http://ufcstats.com/fighter-details/ccd1299e0345e0ce,"Mar 30, 1983",155 lbs.,"71""","5' 9""",Orthodox
Jason Guida,,http://ufcstats.com/fighter-details/ce25b4ed82b1811b,"Aug 04, 1977",214 lbs.,--,"5' 10""",
Clay Guida,The Carpenter,http://ufcstats.com/fighter-details/c47df9303d318c67,"Dec 08, 1981",155 lbs.,"70""","5' 7""",Orthodox
Shannon Gugerty,,http://ufcstats.com/fighter-details/9f1641c08cf8fbe2,"Dec 30, 1981",155 lbs.,"71""","5' 10""",Orthodox
Rainn Guerrero,,http://ufcstats.com/fighter-details/8300a47f6fd6fe4f,"May 13, 1992",125 lbs.,--,--,
Kendall Grove,Da Spyder,http://ufcstats.com/fighter-details/234f3767ff0e5701,"Nov 12, 1982",185 lbs.,"79""","6' 6""",Orthodox
Chris Gruetzemacher,Gritz,http://ufcstats.com/fighter-details/feaf00f3373435d6,"Jun 16, 1986",155 lbs.,"68""","5' 8""",Orthodox
Josh Grispi,The Fluke,http://ufcstats.com/fighter-details/60ba33c3f555a7a3,"Oct 14, 1988",145 lbs.,"74""","5' 11""",Orthodox
Fabricio Guerreiro,,http://ufcstats.com/fighter-details/2963369e327e1979,"Jul 24, 1990",145 lbs.,--,"5' 10""",
Maxim Grishin,Maximus,http://ufcstats.com/fighter-details/950d0ef5c17157c5,"May 02, 1984",205 lbs.,"78""","6' 3""",Orthodox
Garrett Gross,,http://ufcstats.com/fighter-details/6741218640534d8b,"Aug 08, 1988",155 lbs.,--,"5' 9""",Orthodox
Chuck Grigsby,The Reverend,http://ufcstats.com/fighter-details/7fb4234670271505,--,205 lbs.,--,"6' 6""",Orthodox
Charalampos Grigoriou,The Ferocious,http://ufcstats.com/fighter-details/68b8ebdfce9dbb61,"Mar 31, 1992",135 lbs.,--,--,
Rodrigo Gripp de Sousa,Riscado,http://ufcstats.com/fighter-details/dde70a112e053a6c,--,205 lbs.,--,"5' 11""",Orthodox
Jordan Griffin,Native Psycho,http://ufcstats.com/fighter-details/ebef46976554f975,"Feb 28, 1990",145 lbs.,"73""","5' 10""",Southpaw
Max Griffin,Pain,http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d,"Nov 29, 1985",170 lbs.,"76""","5' 11""",Orthodox
Maurice Greene,The Crochet Boss,http://ufcstats.com/fighter-details/068f8a189a47fea6,"Jul 05, 1986",258 lbs.,"80""","6' 7""",Orthodox
Gabe Green,Gifted,http://ufcstats.com/fighter-details/5eb50529a8418b77,"May 02, 1993",170 lbs.,"73""","5' 10""",Switch
Matt Grice,The Real One,http://ufcstats.com/fighter-details/bfc2fc38a0e20211,"Jul 29, 1981",145 lbs.,"70""","5' 8""",Orthodox
Desmond Green,The Predator,http://ufcstats.com/fighter-details/f046d724d2a84ac5,"Oct 11, 1989",155 lbs.,"73""","5' 10""",Southpaw
Kevin Gray,Pocket Herc,http://ufcstats.com/fighter-details/bb0d290026d7681d,"May 03, 1985",125 lbs.,"67""","5' 4""",Orthodox
Sam Greco,,http://ufcstats.com/fighter-details/6d12031661db8ac8,"May 03, 1967",205 lbs.,--,"6' 2""",Orthodox
Bobby Green,King,http://ufcstats.com/fighter-details/887961364be5ceb3,"Sep 09, 1986",155 lbs.,"71""","5' 10""",Orthodox
Shelton Graves,The Gravedigger,http://ufcstats.com/fighter-details/642862d6d63605cd,"Oct 23, 1985",255 lbs.,"76""","6' 2""",Southpaw
James Gray,The Phenom,http://ufcstats.com/fighter-details/2db65fc038c0018e,"Oct 25, 1987",135 lbs.,--,"5' 9""",Orthodox
Michael Graves,,http://ufcstats.com/fighter-details/3f1d23b01c552a13,"Jan 08, 1991",170 lbs.,"71""","5' 10""",Orthodox
TJ Grant,,http://ufcstats.com/fighter-details/a26198ba5093147e,"Feb 26, 1984",155 lbs.,"72""","5' 10""",Orthodox
Miranda Granger,Danger,http://ufcstats.com/fighter-details/7559395ad833c074,"Apr 13, 1992",115 lbs.,"68""","5' 7""",Orthodox
Davey Grant,Dangerous,http://ufcstats.com/fighter-details/113df4fde64735c6,"Dec 18, 1985",135 lbs.,"69""","5' 8""",Orthodox
Scott Graham,,http://ufcstats.com/fighter-details/6e4acc2c115215b5,--,185 lbs.,--,"6' 4""",Orthodox
Steven Graham,,http://ufcstats.com/fighter-details/3e514f437c51ce0a,--,290 lbs.,--,"6' 1""",Orthodox
Bogdan Grad,The Unleashed,http://ufcstats.com/fighter-details/fb37795db81f93f3,"Sep 28, 1995",155 lbs.,--,--,Orthodox
Neiman Gracie,,http://ufcstats.com/fighter-details/12d855d12a624da2,--,170 lbs.,--,"6' 0""",
Kron Gracie,,http://ufcstats.com/fighter-details/242d36d241b43c12,"Jul 11, 1988",145 lbs.,"70""","5' 9""",Southpaw
Igor Gracie,,http://ufcstats.com/fighter-details/722b870449243083,"Feb 04, 1980",170 lbs.,--,"5' 11""",
Roger Gracie,,http://ufcstats.com/fighter-details/a6bbd3df469c6bea,"Sep 26, 1981",185 lbs.,"79""","6' 4""",Orthodox
Cesar Gracie,,http://ufcstats.com/fighter-details/079488710f012779,--,181 lbs.,--,"5' 10""",Orthodox
Rolles Gracie,,http://ufcstats.com/fighter-details/e4a9dbade7c7e1a7,"Jul 14, 1978",242 lbs.,--,"6' 4""",Orthodox
Ralek Gracie,,http://ufcstats.com/fighter-details/84283233ec42be5f,"Oct 04, 1985",210 lbs.,--,"6' 2""",Orthodox
Ryan Gracie,,http://ufcstats.com/fighter-details/0c3838c8f7c620c2,"Aug 14, 1974",200 lbs.,--,"5' 9""",Orthodox
Royler Gracie,,http://ufcstats.com/fighter-details/b807814d977682eb,"Dec 06, 1965",150 lbs.,--,"5' 8""",Southpaw
Rodrigo Gracie,,http://ufcstats.com/fighter-details/36877f0e62b25b96,"Apr 11, 1975",183 lbs.,--,"6' 0""",Orthodox
Rickson Gracie,,http://ufcstats.com/fighter-details/194fc025f9355db6,"Nov 20, 1958",185 lbs.,--,"5' 10""",Switch
Damian Grabowski,The Polish Pitbull,http://ufcstats.com/fighter-details/3f11b5d4bd76a6d9,"May 12, 1980",241 lbs.,"75""","6' 1""",Orthodox
Justin Governale,The Therapist,http://ufcstats.com/fighter-details/ae954fd497025462,--,145 lbs.,--,--,
Hugo Govea,,http://ufcstats.com/fighter-details/2391a73686200c5d,--,--,--,--,
Todd Gouwenberg,,http://ufcstats.com/fighter-details/c44acf87e376c62b,"Sep 25, 1974",205 lbs.,--,"6' 1""",Orthodox
Wilson Gouveia,,http://ufcstats.com/fighter-details/af5b208e97f5d382,"Oct 03, 1978",185 lbs.,"76""","6' 1""",Orthodox
Jonathan Goulet,The Road Warrior,http://ufcstats.com/fighter-details/fb1538b46877a695,"Jul 13, 1979",170 lbs.,"73""","6' 0""",Orthodox
Thibault Gouti,GT,http://ufcstats.com/fighter-details/51e86de150ee8be6,"Feb 27, 1987",155 lbs.,"72""","5' 10""",Orthodox
Chase Gormley,,http://ufcstats.com/fighter-details/052ceb8976695342,--,265 lbs.,--,"6' 3""",Orthodox
Themba Gorimbo,The Answer,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,"Jan 23, 1991",170 lbs.,"77""","6' 1""",Orthodox
Tim Gorman,The Psycho,http://ufcstats.com/fighter-details/c10eb2f12c489f6d,"Apr 29, 1983",135 lbs.,--,"5' 5""",Southpaw
Alex Gorgees,Hitman,http://ufcstats.com/fighter-details/803bebcfb6d6f506,"Aug 11, 1995",155 lbs.,"74""","6' 2""",Switch
Tresean Gore,Mr. Vicious,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,"Jun 21, 1994",185 lbs.,"75""","6' 0""",Switch
Malcolm Gordon,X,http://ufcstats.com/fighter-details/dee294e9717012c2,"May 19, 1990",125 lbs.,"71""","5' 7""",Switch
Tebaris Gordon,Boom,http://ufcstats.com/fighter-details/68c4ca70067bf282,"Jul 19, 1988",265 lbs.,--,"6' 1""",Orthodox
Eddie Gordon,Truck,http://ufcstats.com/fighter-details/8cad40a75e5c97f5,"Jul 22, 1983",185 lbs.,"76""","6' 0""",Orthodox
Jared Gordon,Flash,http://ufcstats.com/fighter-details/7026eca45f65377b,"Sep 06, 1988",155 lbs.,"68""","5' 9""",Orthodox
Royce Gracie,,http://ufcstats.com/fighter-details/429e7d3725852ce9,"Dec 12, 1966",175 lbs.,--,"6' 1""",Southpaw
Crosley Gracie,,http://ufcstats.com/fighter-details/52d92050a046bc17,"Jul 18, 1979",190 lbs.,--,"5' 9""",Orthodox
Lyman Good,Cyborg,http://ufcstats.com/fighter-details/4e0692ad070976e4,"May 26, 1985",170 lbs.,"74""","6' 0""",Orthodox
Gerard Gordeau,,http://ufcstats.com/fighter-details/279093302a6f44b3,"Mar 30, 1959",216 lbs.,--,"6' 5""",Orthodox
Erick Gonzalez,The Ghost Pepper,http://ufcstats.com/fighter-details/a2ccf35a88346a91,"Jan 20, 1992",155 lbs.,"75""","5' 11""",Orthodox
Kier Gooch,,http://ufcstats.com/fighter-details/1bda4867f1baceac,"Apr 21, 1986",155 lbs.,--,--,
Gary Goodridge,Big Daddy,http://ufcstats.com/fighter-details/fbbde91f7bc2d3c5,"Jan 17, 1966",249 lbs.,--,"6' 3""",Orthodox
Mikey Gonzalez,Rolls,http://ufcstats.com/fighter-details/de47c33e48b0ce38,"Aug 13, 1985",155 lbs.,"74""","5' 11""",Orthodox
Jorge Gonzalez,Street,http://ufcstats.com/fighter-details/ff175a137b395e2b,"Feb 29, 1984",205 lbs.,"76""","6' 2""",Orthodox
Jason Gonzalez,Nicoya,http://ufcstats.com/fighter-details/e45cfa47f504033a,"Feb 28, 1990",155 lbs.,"74""","6' 2""",Southpaw
Pearl Gonzalez,,http://ufcstats.com/fighter-details/1ebdcb7488d0ebee,"Aug 12, 1986",115 lbs.,--,"5' 4""",Orthodox
Lewis Gonzalez,Lethal,http://ufcstats.com/fighter-details/2ff2e6e5abea3e53,"Sep 19, 1987",170 lbs.,--,"5' 10""",Orthodox
Nick Gonzalez,The Ghost,http://ufcstats.com/fighter-details/28d8638ea0a71908,"Mar 03, 1981",155 lbs.,--,"5' 6""",Orthodox
Justin Gonzales,J-Train,http://ufcstats.com/fighter-details/94535f76f43b466a,"Apr 28, 1991",145 lbs.,"72""","5' 9""",Orthodox
Fernando Gonzalez,The Menifee Maniac,http://ufcstats.com/fighter-details/be5aab761c40ef35,"Sep 15, 1983",170 lbs.,"68""","5' 9""",Southpaw
Fabian Gonzalez,,http://ufcstats.com/fighter-details/69c071bc2621e8b0,--,135 lbs.,--,"5' 10""",
Gabriel Gonzaga,Napao,http://ufcstats.com/fighter-details/270b89c00ef0c55c,"May 18, 1979",242 lbs.,"76""","6' 2""",Orthodox
William Gomis,Jaguar,http://ufcstats.com/fighter-details/e1d40e8782d80bc2,"Jun 13, 1997",145 lbs.,"73""","6' 0""",Southpaw
Akihiro Gono,,http://ufcstats.com/fighter-details/b2acebbef8da14ea,"Oct 07, 1974",170 lbs.,"68""","5' 7""",Switch
Silvana Gomez Juarez,La Malvada,http://ufcstats.com/fighter-details/b4880ef2f838d4e1,"Dec 06, 1984",115 lbs.,"65""","5' 3""",Orthodox
Takanori Gomi,The Fireball Kid,http://ufcstats.com/fighter-details/3be081c29bf734d9,"Sep 22, 1978",155 lbs.,"70""","5' 7""",Southpaw
Edson Gomez,,http://ufcstats.com/fighter-details/e90f4291f93708e6,"Feb 23, 1991",170 lbs.,"69""","5' 8""",Switch
Joey Gomez,,http://ufcstats.com/fighter-details/3a28e1e641366308,"Aug 29, 1989",155 lbs.,"71""","5' 10""",Orthodox
Joey Gomez,KO King,http://ufcstats.com/fighter-details/0778f94eb5d588a5,"Jul 21, 1986",135 lbs.,"73""","5' 10""",Orthodox
Luis Gomez,Tiger Junior,http://ufcstats.com/fighter-details/513e84bfe65ff509,"Jan 28, 1995",145 lbs.,"68""","5' 7""",Orthodox
Ulysses Gomez,Useless,http://ufcstats.com/fighter-details/1e35aa8955794580,"May 25, 1983",125 lbs.,--,"5' 6""",Orthodox
David Gomez,,http://ufcstats.com/fighter-details/489413d3be819647,"Aug 08, 1983",155 lbs.,--,--,
Alan Gomez,,http://ufcstats.com/fighter-details/0a66de3a797cf73a,--,155 lbs.,--,--,
Frank Gomez,,http://ufcstats.com/fighter-details/a0a680fe2f6cc8e6,"Mar 31, 1986",135 lbs.,"67""","5' 10""",Orthodox
Jonny Goh,,http://ufcstats.com/fighter-details/e86af30738a5452a,--,155 lbs.,--,"5' 11""",
Denise Gomes,Dee,http://ufcstats.com/fighter-details/cffb87059e645bd1,"Dec 30, 1999",115 lbs.,"63""","5' 2""",Orthodox
Billy Goff,,http://ufcstats.com/fighter-details/fa07345cc9db5cc9,"Jun 18, 1998",170 lbs.,--,--,Switch
Amiran Gogoladze,,http://ufcstats.com/fighter-details/5d1636b6c1688502,"Dec 09, 1997",170 lbs.,"74""","6' 1""",Switch
Allan Goes,,http://ufcstats.com/fighter-details/e62b36885ecdac27,"Apr 20, 1971",205 lbs.,--,"6' 0""",Orthodox
Jason Godsey,,http://ufcstats.com/fighter-details/5ca158b1cc9cb242,--,230 lbs.,--,"6' 2""",Orthodox
Loopy Godinez,,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,"Sep 06, 1993",115 lbs.,"61""","5' 2""",Orthodox
Mark Godbeer,The Hand Of,http://ufcstats.com/fighter-details/ad56b3f00ca38dfd,"Nov 22, 1983",240 lbs.,"77""","6' 4""",Orthodox
Ricky Glenn,The Gladiator,http://ufcstats.com/fighter-details/814ff3018127e8fc,"Apr 12, 1989",155 lbs.,"70""","6' 0""",Southpaw
Clint Godfrey,,http://ufcstats.com/fighter-details/bd85ca0bb4f26cfc,"Oct 21, 1982",135 lbs.,--,"5' 6""",Southpaw
Jason Glaza,,http://ufcstats.com/fighter-details/fda067e842b07466,--,230 lbs.,--,"6' 0""",
Brandon Girtz,Cold Roll,http://ufcstats.com/fighter-details/81f1810f72df8f25,"Mar 06, 1985",155 lbs.,--,"5' 7""",
Mike Glenn,,http://ufcstats.com/fighter-details/ed133185689088b3,"Oct 09, 1977",205 lbs.,--,--,
Israel Giron,El Rojo,http://ufcstats.com/fighter-details/4b4f6abdce986be6,"Jan 16, 1974",155 lbs.,--,"5' 8""",
He-Man Gipson,,http://ufcstats.com/fighter-details/3e03cec9767d37e6,--,--,--,--,
Billy Giovanella,Wolverine,http://ufcstats.com/fighter-details/c1ea31a904fe08a9,"Aug 20, 1985",125 lbs.,--,"5' 8""",
Demetrius Gioulacos,,http://ufcstats.com/fighter-details/a58114c6dd0add64,--,185 lbs.,--,"5' 11""",
Eperaim Ginting,The Wolfman,http://ufcstats.com/fighter-details/bad8ed7d714f1493,"Nov 30, 1995",135 lbs.,"64""","5' 4""",Orthodox
Bob Gilstrap,,http://ufcstats.com/fighter-details/c96518b7f6881004,--,200 lbs.,--,"6' 3""",Orthodox
Alex Gilpin,,http://ufcstats.com/fighter-details/762c69860eef65d8,"Mar 26, 1992",145 lbs.,--,"5' 7""",Orthodox
Krishaun Gilmore,,http://ufcstats.com/fighter-details/10ccdcd14c3dfcf1,--,--,--,--,
Jason Gilliam,,http://ufcstats.com/fighter-details/91720876db0ee468,--,170 lbs.,--,"6' 0""",Orthodox
Jesse Gillespie,,http://ufcstats.com/fighter-details/160b931119c1bf91,--,185 lbs.,--,--,
Gregor Gillespie,The Gift,http://ufcstats.com/fighter-details/84ff027394f7e470,"Nov 13, 1986",155 lbs.,"71""","5' 7""",Orthodox
Trevin Giles,,http://ufcstats.com/fighter-details/b27a1fcb56a3035a,"Aug 06, 1992",170 lbs.,"74""","6' 0""",Orthodox
Kultar Gill,Black Mamba,http://ufcstats.com/fighter-details/42c96a9c4802e2e1,"Mar 24, 1979",154 lbs.,--,"6' 0""",Orthodox
Joey Gilbert,,http://ufcstats.com/fighter-details/6bb1d2b714d4b3bc,"Jun 05, 1976",155 lbs.,--,"5' 11""",Orthodox
Chase Gibson,El Guero,http://ufcstats.com/fighter-details/09439946214993bc,"Feb 07, 1990",155 lbs.,"72""","5' 10""",Orthodox
Micheal Gillmore,The Gentleman,http://ufcstats.com/fighter-details/ce175eaafe867d1f,"Mar 28, 1987",170 lbs.,"72""","5' 11""",Orthodox
Kenny Giddens,,http://ufcstats.com/fighter-details/db8b800176d26f6e,--,155 lbs.,--,"5' 11""",
Cody Gibson,The Renegade,http://ufcstats.com/fighter-details/700a674c042b7a96,"Sep 11, 1987",135 lbs.,"71""","5' 10""",Orthodox
Joe Giannetti,,http://ufcstats.com/fighter-details/946db8a378903cc3,"Jul 05, 1995",155 lbs.,"74""","6' 0""",Southpaw
Lee Gibson,Lethal,http://ufcstats.com/fighter-details/69db199087a1a792,--,155 lbs.,--,"5' 7""",
Nick Gibbons,,http://ufcstats.com/fighter-details/96a221341035b701,--,155 lbs.,--,"5' 10""",
Joseph Gigliotti,Capo,http://ufcstats.com/fighter-details/83825fad27ab3581,"Aug 13, 1993",185 lbs.,--,"5' 11""",Orthodox
Christos Giagos,The Spartan,http://ufcstats.com/fighter-details/de45aaae23dfa392,"Jan 23, 1990",155 lbs.,"71""","5' 10""",Orthodox
Tiki Ghosn,,http://ufcstats.com/fighter-details/cb6783c39c01d896,"Feb 09, 1977",170 lbs.,--,"5' 10""",Orthodox
Darrel Gholar,,http://ufcstats.com/fighter-details/a24e080000fa7a35,--,194 lbs.,--,"5' 8""",Orthodox
Derek Getzel,The Pretzel,http://ufcstats.com/fighter-details/42883268854b78be,--,155 lbs.,--,"6' 0""",
Karine Gevorgyan,The Princess,http://ufcstats.com/fighter-details/2db0c114414d4f06,"Mar 09, 1989",125 lbs.,"63""","5' 4""",
Yanis Ghemmouri,The Desert Warrior,http://ufcstats.com/fighter-details/eb70e786bbdf1d16,"Jan 24, 1995",135 lbs.,--,--,
Brian Geraghty,Duke,http://ufcstats.com/fighter-details/15edcf67ccf5be84,"Nov 04, 1980",155 lbs.,--,"5' 7""",Orthodox
Solomon Hutcherson,King,http://ufcstats.com/fighter-details/155bfc7ed36622df,"Aug 31, 1972",185 lbs.,--,"5' 11""",Southpaw
Chad George,Savage,http://ufcstats.com/fighter-details/14e797332ea32cdb,"Apr 30, 1982",135 lbs.,"68""","5' 6""",Southpaw
Paul Georgieff,,http://ufcstats.com/fighter-details/2f1700b3a4a09bc7,"Sep 22, 1982",170 lbs.,--,"6' 2""",Orthodox
Manuel Gaxhja,,http://ufcstats.com/fighter-details/618643d0d5c0631d,"Jul 23, 1997",155 lbs.,--,"5' 8""",Switch
Willie Gates,,http://ufcstats.com/fighter-details/6ded9184b2284645,"Jan 21, 1987",125 lbs.,"72""","5' 8""",Orthodox
Young Hwang,,http://ufcstats.com/fighter-details/8588d14c4952b9fa,"Sep 02, 1988",135 lbs.,--,"5' 9""",
Louis Gaudinot,Goodnight,http://ufcstats.com/fighter-details/b72a60a0cadff408,"Aug 28, 1984",125 lbs.,"63""","5' 3""",Orthodox
Melissa Gatto,,http://ufcstats.com/fighter-details/a4a80dd7336ffd59,"May 02, 1996",125 lbs.,"69""","5' 5""",Orthodox
Brian Gassaway,,http://ufcstats.com/fighter-details/e4770d5ed44a3970,"Aug 07, 1972",170 lbs.,--,"6' 1""",Orthodox
Pablo Garza,The Scarecrow,http://ufcstats.com/fighter-details/8e5bfd4e82352340,"Sep 16, 1983",145 lbs.,"73""","6' 1""",Orthodox
Rulon Gardner,,http://ufcstats.com/fighter-details/4f7e290e71d60f87,"Aug 16, 1971",265 lbs.,--,"6' 3""",Orthodox
David Gardner,,http://ufcstats.com/fighter-details/70167689d6a01793,"May 17, 1977",155 lbs.,--,"5' 11""",Orthodox
Fernie Garcia,,http://ufcstats.com/fighter-details/9e92e1ca498d7244,"Apr 12, 1992",135 lbs.,"67""","5' 7""",Orthodox
Elias Garcia,,http://ufcstats.com/fighter-details/ac5a7400da3a9a41,"Sep 13, 1992",125 lbs.,"67""","5' 5""",Southpaw
Rafa Garcia,Gifted,http://ufcstats.com/fighter-details/e132d47bd9efbbe0,"Aug 05, 1994",155 lbs.,"70""","5' 7""",Orthodox
Steve Garcia,Mean Machine,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889,"May 22, 1992",145 lbs.,"75""","6' 0""",Southpaw
Nick Garcia,Nitro,http://ufcstats.com/fighter-details/8a04d94dfcfab159,--,125 lbs.,--,"5' 4""",
Joe Hurley,,http://ufcstats.com/fighter-details/21b54430c8eeb9cc,"Jun 24, 1978",155 lbs.,--,"5' 8""",
